2015-07-19,Morris Heights,12	
2015-07-19,Riverdale,8	
2015-07-19,Soundview,12	
2015-07-19,Springfield Gardens,10	
2015-07-19,Throggs Neck,7	
2015-07-19,Utopia,40	
2015-07-19,Washington Heights,585	
2015-07-19,Williamsburg,2350	
2015-07-19,Yorkville,61	
2015-07-20,Canarsie,2	
2015-07-20,East Brooklyn,11	
2015-07-20,Forest Hills,89	
2015-07-20,Gramercy,28471	
2015-07-20,Greenwood,31	
2015-07-20,Maspeth,25	
2015-07-20,Middle Village,5	
2015-07-20,Ridgewood,9	
2015-07-20,Steinway,5411	
2015-07-20,Todt Hill,1	
2015-07-20,Upper East Side,47440	
2015-07-20,Woodside,265	
2015-07-21,Bedford Park,6	
2015-07-21,Central Park,4107	
2015-07-21,Clinton,12492	
2015-07-21,Flushing,44	
2015-07-21,Fordham,3	
2015-07-21,Fort Green,525	
2015-07-21,Garment District,22489	
2015-07-21,Greenwood,40	
2015-07-21,Jackson Heights,283	
2015-07-21,Little Italy,2966	
2015-07-21,Morris Heights,4	
2015-07-21,Morris Park,3	
2015-07-21,Rosedale,7754	
2015-07-21,South Bronx,18	
2015-07-21,Throggs Neck,3	
2015-07-21,Union Port,3	
2015-07-21,Washington Heights,341	
2015-07-21,Westerleigh-Castleton,2	
2015-07-21,Williamsburg,928	
2015-07-21,Woodhaven-Richmond Hill,28	
2015-07-21,Woodlawn-Nordwood,1	
2015-07-22,Clifton,1	
2015-07-22,College Point,12098	
2015-07-22,Glendale,1	
2015-07-22,Kings Bridge,7	
2015-07-22,Midtown,68730	
2015-07-22,Mott Haven,79	
2015-07-22,Queens Village,3	
2015-07-22,West Village,9405	
2015-07-22,Westerleigh-Castleton,2	
2015-07-22,Whitestone,486	
2015-07-23,Battery Park,4293	
2015-07-23,Bedford-Stuyvesant,209	
2015-07-23,Carroll Gardens,469	
2015-07-23,Chinatown,1128	
2015-07-23,East Village,12048	
2015-07-23,Financial District,9865	
2015-07-23,Hamilton Heights,572	
2015-07-23,Jamaica,118	
2015-07-23,Lower East Side,8089	
2015-07-23,Park Slope,232	
2015-07-23,Queensboro Hill,3	
2015-07-23,Riverdale,4	
2015-07-23,Soho,8147	
2015-07-23,Soundview,9	
2015-07-23,Sunset Park,2	
2015-07-23,Tremont,2	
2015-07-23,Westerleigh-Castleton,2	
2015-07-23,Yorkville,26	
2015-07-24,Boerum Hill,347	
2015-07-24,Brownsville,8	
2015-07-24,Chelsea,28385	
2015-07-24,College Point,12112	
2015-07-24,Country Club,3	
2015-07-24,East Harlem,821	
2015-07-24,Greenwich Village,18881	
2015-07-24,Mapleton-Flatlands,41	
2015-07-24,New Brighton,1	
2015-07-24,Nkew Gardens,42	
2015-07-24,Riverdale,6	
2015-07-24,Springfield Gardens,20	
2015-07-24,Spuyten Duyvil,1	
2015-07-24,Sunny Side,1092	
2015-07-24,Upper East Side,47051	
2015-07-24,Utopia,51	
